Region,Medals,Games,Host
China,0,1956,No
South Korea,0,1956,No
Russia,25,1956,No
Italy,0,1956,No
France,1,1956,No
Greece,1,1956,No
UK,13,1956,No
Germany,110,1956,No
Belgium,0,1956,No
Netherlands,0,1956,No
Spain,0,1956,No
Sweden,1,1956,No
Finland,3,1956,No
USA,40,1956,No
Canada,0,1956,No
Mexico,0,1956,No
Brazil,1,1956,No
Australia,4,1960,No
Japan,0,1960,No
China,0,1960,No
South Korea,0,1960,No
Russia,24,1960,No
Italy,3,1960,Yes
France,2,1960,No
Greece,0,1960,No
UK,11,1960,No
Germany,22,1960,No
Belgium,1,1960,No
Netherlands,0,1960,No
Spain,0,1960,No
Sweden,1,1960,No
Finland,1,1960,No
USA,32,1960,No
Canada,0,1960,No
Mexico,0,1960,No
Brazil,0,1960,No
Australia,6,1964,No
Japan,1,1964,Yes
China,0,1964,No
South Korea,0,1964,No
Russia,18,1964,No
Italy,2,1964,No
France,5,1964,No
Greece,0,1964,No
UK,18,1964,No
Germany,10,1964,No
Belgium,1,1964,No
Netherlands,0,1964,No
Spain,0,1964,No
Sweden,1,1964,No
Finland,1,1964,No
USA,33,1964,No
Canada,2,1964,No
Mexico,0,1964,No
Brazil,0,1964,No
Australia,6,1968,No
Japan,1,1968,No
China,0,1968,No
South Korea,0,1968,No
Russia,16,1968,No
Italy,2,1968,No
France,5,1968,No
Greece,0,1968,No
UK,4,1968,No
Germany,17,1968,No
Belgium,0,1968,No
Netherlands,1,1968,No
Spain,0,1968,No
Sweden,0,1968,No
Finland,1,1968,No
USA,37,1968,No
Canada,0,1968,No
Mexico,1,1968,Yes
Brazil,1,1968,No
Australia,2,1972,No
Japan,0,1972,No
China,0,1972,No
South Korea,0,1972,No
Russia,20,1972,No
Italy,2,1972,No
France,5,1972,No
Greece,0,1972,No
UK,7,1972,No
Germany,46,1972,Yes
Belgium,2,1972,No
Netherlands,0,1972,No
Spain,0,1972,No
Sweden,1,1972,No
Finland,4,1972,No
USA,28,1972,No
Canada,0,1972,No
Mexico,0,1972,No
Brazil,1,1972,No
Australia,0,1976,No
Japan,0,1976,No
China,0,1976,No
South Korea,0,1976,No
Russia,27,1976,No
Italy,1,1976,No
France,1,1976,No
Greece,0,1976,No
UK,1,1976,No
Germany,51,1976,No
Belgium,3,1976,No
Netherlands,0,1976,No
Spain,0,1976,No
Sweden,1,1976,No
Finland,4,1976,No
USA,31,1976,No
Canada,1,1976,Yes
Mexico,1,1976,No
Brazil,1,1976,No
Australia,1,1980,No
Japan,0,1980,No
