__ROW_PATH__,"1896,Bronze,Medal","1896,Gold,Medal","1896,Silver,Medal","1900,Bronze,Medal","1900,Gold,Medal","1900,Silver,Medal","1904,Bronze,Medal","1904,Gold,Medal","1904,Silver,Medal","1906,Bronze,Medal","1906,Gold,Medal","1906,Silver,Medal","1908,Bronze,Medal","1908,Gold,Medal","1908,Silver,Medal","1912,Bronze,Medal","1912,Gold,Medal","1912,Silver,Medal","1920,Bronze,Medal","1920,Gold,Medal","1920,Silver,Medal","1924,Bronze,Medal","1924,Gold,Medal","1924,Silver,Medal","1928,Bronze,Medal","1928,Gold,Medal","1928,Silver,Medal","1932,Bronze,Medal","1932,Gold,Medal","1932,Silver,Medal","1936,Bronze,Medal","1936,Gold,Medal","1936,Silver,Medal","1948,Bronze,Medal","1948,Gold,Medal","1948,Silver,Medal","1952,Bronze,Medal","1952,Gold,Medal","1952,Silver,Medal","1956,Bronze,Medal","1956,Gold,Medal","1956,Silver,Medal","1960,Bronze,Medal","1960,Gold,Medal","1960,Silver,Medal","1964,Bronze,Medal","1964,Gold,Medal","1964,Silver,Medal","1968,Bronze,Medal","1968,Gold,Medal","1968,Silver,Medal","1972,Bronze,Medal","1972,Gold,Medal","1972,Silver,Medal","1976,Bronze,Medal","1976,Gold,Medal","1976,Silver,Medal","1980,Bronze,Medal","1980,Gold,Medal","1980,Silver,Medal","1984,Bronze,Medal","1984,Gold,Medal","1984,Silver,Medal","1988,Bronze,Medal","1988,Gold,Medal","1988,Silver,Medal","1992,Bronze,Medal","1992,Gold,Medal","1992,Silver,Medal","1996,Bronze,Medal","1996,Gold,Medal","1996,Silver,Medal","2000,Bronze,Medal","2000,Gold,Medal","2000,Silver,Medal","2004,Bronze,Medal","2004,Gold,Medal","2004,Silver,Medal","2008,Bronze,Medal","2008,Gold,Medal","2008,Silver,Medal","2012,Bronze,Medal","2012,Gold,Medal","2012,Silver,Medal","2016,Bronze,Medal","2016,Gold,Medal","2016,Silver,Medal"
MAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,2,,,,,,,,,1,1,,1,1,,7
MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,1,,,,1,,,2,,,,,
MEX,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,,,4,4,1,,,1,1,1,,1,,,1,,,3,3,3,,,1,1,1,,9,,1,1,2,3,2,,,,,1,1,,,3,1,2,1,,3,2,2,,3,16,5,2,,3
MGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,1,,,1,2,,2,,,,1,,,2,,,1,,,,,,1,,,,2,2,3,,2,1,,1
MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,
MON,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,
MRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,
NED,,,,16,3,8,,,,5,,1,16,,,26,,,25,15,10,18,8,1,8,20,29,1,2,10,21,9,7,32,8,2,,,18,,,,2,,1,16,5,10,1,6,7,2,3,1,12,,2,5,,1,14,20,7,36,3,6,8,5,20,26,38,9,23,27,29,22,4,51,4,39,18,19,21,29,13,9,25
NGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,4,,1,,,,4,,7,3,17,4,,6,2,8,,,7,,16,,,,18,,
NIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NOR,,,,3,,6,,2,,,20,5,3,7,32,34,40,6,27,58,52,3,14,5,1,4,4,,,,15,1,12,11,3,4,,5,8,2,1,,,2,,,,,,4,2,4,2,2,,2,4,,,,3,,1,,2,20,1,2,20,18,2,3,19,20,4,2,5,,1,16,5,1,15,1,19,,
NZL,,,,,1,,,,,,,,,,,,,,1,,,1,,,,1,,,,2,,1,,,,,2,1,,,3,,1,2,,2,4,,2,5,,1,9,4,9,15,1,,,,6,16,1,16,4,4,5,1,9,4,3,2,3,1,,,4,2,9,4,2,15,9,3,5,6,25
PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,13,,,,16,,13,,,,15,16,,,,,,,16,,1,,,16,,,,,,,,,,,,,,,,,,,,
PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
PAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,
PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,12,,,1,,,,,,,,,,,,,,,,,,
PHI,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,1
POL,,,,,,,,,,,,,,,,,,,,,,1,,4,15,2,3,14,3,4,6,,6,1,1,,1,1,2,9,1,9,15,4,11,23,10,13,30,5,2,11,27,8,26,18,29,22,3,25,,,,10,2,9,19,5,22,7,7,8,7,7,10,6,4,2,1,6,13,8,2,2,10,3,3
POR,,,,,,,,,,,,,,,,,,,,,,4,,,6,,,,,,3,,,3,,2,2,,,,,,,,2,,,,,,,,,,,,2,,,,2,1,,,1,,,,,2,1,,2,,,1,,2,,1,1,,,2,1,,
PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,1,,1,1,2,,3,,,,,,,6,4,,2,2,1,3,,1,1,,4,3,2,1,2,4,,2,2,3
PUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,1,,,1,,,,,,,,,,,,1,,1,,1,
QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,2,,,,,1
ROU,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,1,,,,2,1,1,10,6,3,11,3,1,10,2,4,9,5,9,27,3,10,23,4,28,46,7,15,35,40,31,16,8,34,14,8,31,15,13,10,13,27,6,11,23,5,16,5,1,6,2,8,10,4,2
RSA,,,,,,,,,,,,,,1,1,,5,2,6,3,12,1,1,1,5,1,,3,2,,,,1,2,2,2,4,2,8,7,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,1,3,,2,3,4,3,,,1,1,6,2,14,2,7
RUS,,,,,,,,,,,,,,1,2,9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,36,45,54,66,67,95,48,46,53,43,46,51,50,39,35,52,28
SCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,12,13,11,1,,,13,,,,,,,,,
SEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,1,
SLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,,3,,3,,2,2,1,2,3,1,1,1,1,2
SRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,1,14,1,1,13,14,27
SRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
SUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
SUI,,1,2,1,16,4,2,1,,1,8,3,,,,,2,,21,6,2,21,14,25,4,16,10,,,1,24,5,23,6,5,25,12,2,19,3,,,6,,6,1,1,4,10,,3,,,8,6,1,3,,2,,4,,9,2,,6,,1,,,5,6,2,1,11,4,1,2,7,3,1,,2,2,2,6,3
SUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,3,5,3,2,1,4,5,4,,1,,3,5
SWE,,,,1,3,,,,,14,2,5,18,48,18,25,103,62,64,52,38,43,7,22,22,7,8,12,13,7,17,7,11,30,30,15,23,23,24,6,14,14,3,2,2,8,3,4,1,4,4,8,4,10,,9,1,9,3,8,13,3,18,11,,5,7,1,27,5,3,23,8,4,20,2,5,5,2,,5,3,2,17,3,2,23
SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,
TAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCH,,,,,,,,,,,,,,,,,,,10,,,5,1,4,2,2,12,2,1,3,1,5,12,3,14,3,10,11,4,1,1,5,11,4,7,12,5,37,15,7,7,6,2,21,9,2,4,16,17,18,,,,3,3,4,1,4,3,,,,,,,,,,,,,,,,,,
TGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,1,,,1,1,,2,1,,4,3,1,,2,2,1,,2,2,2,2
TJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,
TOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
TPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,20,,,1,4,,1,3,2,4,4,,,1,,1,4,1,
TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,5,,1,,,,,,,,1,,,,,,,,,,,,,,2,,,1,,1,1,,,,5,1,5,1,4,1,,
TUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,1,1,3,,
TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,6,4,1,2,,2,3,2,,7,2,1,2,3,,2,,,,1,,,,,,,3,,,,1,1,2,2,2,1,4,1,2,3,,5,3,3,3,1,3,1,2,2,4,1,3
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,
UAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,10,5,12,3,20,31,8,8,16,10,5,12,9,5,5,2,8
URS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,36,62,55,68,46,45,61,63,51,60,63,64,65,63,60,107,47,77,114,95,126,187,129,,,,99,134,67,,,,,,,,,,,,,,,,,,,,,
URU,,,,,,,,,,,,,,,,,,,,,,,14,,,17,,1,,,,,,2,,1,14,,,12,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
USA,2,11,7,17,30,16,125,128,141,6,12,6,15,34,16,36,46,25,38,111,45,49,97,36,17,47,24,61,81,47,16,51,29,35,87,30,28,83,23,20,61,42,21,81,23,37,95,37,35,99,32,43,69,59,36,70,58,,,,50,186,116,54,87,66,85,89,50,52,159,48,51,130,61,71,117,75,80,127,110,46,145,57,71,139,54
UZB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,1,1,2,2,1,3,1,2,2,1,,7,4,2
VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,1,,,1,3,,,,,,,,,,,,,,,2,,,1,,,,1,,2,,1
VIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1
WIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUG,,,,,,,,,,,,,,,,,,,,,,,2,,10,1,1,,,,,,1,,,16,,4,20,,,23,,16,1,2,2,11,2,13,14,2,15,1,3,2,14,17,13,27,35,47,5,21,15,27,,,,,,,,,,,,,,,,,,,,,
ZAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,1,1,1,,1,3,,,,,,
